primary_key,ancient_toponym,province,role,from_year,to_year,note
Hanson2016_992,Roma,Italia,capital,27 BC,AD 330,imperial capital until the Constantinople transfer; senate seat after
Hanson2016_1375,Byzantium,Thracia,capital,AD 330,AD 476,refounded as Constantinople / Nova Roma in AD 330
Hanson2016_379,Nicomedia,Bithynia et Pontus,capital,AD 284,AD 330,Diocletian's and Licinius's capital of the East
Hanson2016_1072,Mediolanum (Italia (XI Transpadana)),Italia,capital,AD 286,AD 402,Maximian's and later Western emperors' capital
Hanson2016_587,Colonia Augusta Treverorum,Gallia Belgica,residence,AD 293,AD 395,Constantius Chlorus and later Valentinian I; prefecture of the Gauls
Hanson2016_1273,Sirmium,Pannonia Inferior,residence,AD 293,AD 318,one of the four tetrarchic capitals (Galerius)
Hanson2016_1022,Ravenna,Italia,capital,AD 402,AD 476,Western capital after Milan
Hanson2016_1324,Antiochia (Syria),Syria,residence,AD 337,AD 361,Constantius II's residence for the East
Hanson2016_1162,Thessalonica,Macedonia,residence,AD 293,AD 311,Galerius's base and de facto eastern hub
Hanson2016_393,Eburacum,Britannia,residence,AD 305,AD 306,Constantius Chlorus died there; Constantine proclaimed augustus
Hanson2016_1387,Serdica,Thracia,residence,AD 316,AD 324,Constantine's residence; 'Serdica is my Rome'
